 ID,PARAM,Date,Concentration,SYM
08MH024,3,14-06-1967,340,S
08MH024,3,15-06-1967,285,S
08MH024,3,16-06-1967,273,S
08MH024,3,17-06-1967,275,S
08MH024,3,18-06-1967,271,S
08MH024,3,19-06-1967,227,S
08MH024,3,20-06-1967,238,S
08MH024,3,21-06-1967,298,S
08MH024,3,22-06-1967,322,S
08MH024,3,23-06-1967,304,S
08MH024,3,24-06-1967,322,S
08MH024,3,25-06-1967,343,S
08MH024,3,26-06-1967,371,S
08MH024,3,27-06-1967,400,S
08MH024,3,28-06-1967,408,S
08MH024,3,29-06-1967,408,S
08MH024,3,30-06-1967,365,S
08MH024,3,1967-01-07,312,S
08MH024,3,1967-02-07,317,S
08MH024,3,1967-03-07,326,S
08MH024,3,1967-04-07,310,S
08MH024,3,1967-05-07,286,S
08MH024,3,1967-06-07,275,S
08MH024,3,1967-07-07,273,S
08MH024,3,1967-08-07,270,S
08MH024,3,1967-09-07,233,S
08MH024,3,1967-10-07,200,S
08MH024,3,1967-11-07,202,S
08MH024,3,1967-12-07,197,S
08MH024,3,13-07-1967,192,S
08MH024,3,14-07-1967,194,S
08MH024,3,15-07-1967,189,S
08MH024,3,16-07-1967,199,S
08MH024,3,17-07-1967,209,S
08MH024,3,18-07-1967,186,S
08MH024,3,19-07-1967,179,S
08MH024,3,20-07-1967,198,S
08MH024,3,21-07-1967,181,S
08MH024,3,22-07-1967,183,S
08MH024,3,23-07-1967,166,S
08MH024,3,24-07-1967,131,S
08MH024,3,25-07-1967,133,S
