,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
540,,1985-06-24,,,,7790.0
541,,1985-06-25,,,,7530.0
542,,1985-06-26,,,,7190.0
543,,1985-06-27,,,,6840.0
544,,1985-06-28,,,,6540.0
545,,1985-06-29,,,,6250.0
546,,1985-06-30,,,,6080.0
547,,1985-07-01,,,,6020.0
548,,1985-07-02,,,,6030.0
549,,1985-07-03,,,,6190.0
550,,1985-07-04,,,,6520.0
551,,1985-07-05,,,,6550.0
552,,1985-07-06,,,,6390.0
553,,1985-07-07,,,,6220.0
554,,1985-07-08,,,,6180.0
555,,1985-07-09,,,,6190.0
556,,1985-07-10,,,,6070.0
557,,1985-07-11,,,,5890.0
558,,1985-07-12,,,,5710.0
559,,1985-07-13,,,,5650.0
560,,1985-07-14,,,,5610.0
561,,1985-07-15,,,,5550.0
562,,1985-07-16,,,,5420.0
563,,1985-07-17,,,,5220.0
564,,1985-07-18,,,,4940.0
565,,1985-07-19,,,,4730.0
566,,1985-07-20,,,,4580.0
567,,1985-07-21,,,,4500.0
568,,1985-07-22,,,,4450.0
569,,1985-07-23,,,,4430.0
570,,1985-07-24,,,,4430.0
571,,1985-07-25,,,,4420.0
572,,1985-07-26,,,,4400.0
573,,1985-07-27,,,,4330.0
574,,1985-07-28,,,,4280.0
575,,1985-07-29,,,,4140.0
576,,1985-07-30,,,,4000.0
577,,1985-07-31,,,,3880.0
578,,1985-08-01,,,,3760.0
579,,1985-08-02,,,,3700.0
580,,1985-08-03,,,,3600.0
581,,1985-08-04,,,,3680.0
582,,1985-08-05,,,,3700.0
583,,1985-08-06,,,,3730.0
584,,1985-08-07,,,,3730.0
585,,1985-08-08,,,,3770.0
586,,1985-08-09,,,,3660.0
587,,1985-08-10,,,,3630.0
588,,1985-08-11,,,,3450.0
589,,1985-08-12,,,,3320.0
590,,1985-08-13,,,,3370.0
591,55.0,1985-08-14,3.232894200000002,51.72432727500019,4.007333185232471,3380.0
592,,1985-08-15,,,,3190.0
593,,1985-08-16,,,,3140.0
594,,1985-08-17,,,,3050.0
595,,1985-08-18,,,,3000.0
596,,1985-08-19,,,,2950.0
597,,1985-08-20,,,,2920.0
598,,1985-08-21,,,,2890.0
599,,1985-08-22,,,,2710.0
600,33.0,1985-08-23,2.609965574999995,-12.451345550000326,3.4965075614664802,2720.0
601,,1985-08-24,,,,2720.0
602,,1985-08-25,,,,2650.0
603,,1985-08-26,,,,2580.0
604,,1985-08-27,,,,2550.0
605,,1985-08-28,,,,2550.0
606,,1985-08-29,,,,2450.0
607,,1985-08-30,,,,2440.0
608,,1985-08-31,,,,2430.0
609,,1985-09-01,,,,2280.0
610,,1985-09-02,,,,2250.0
611,,1985-09-03,,,,2210.0
612,,1985-09-04,,,,2190.0
613,,1985-09-05,,,,2160.0
614,,1985-09-06,,,,2400.0
615,,1985-09-07,,,,2320.0
616,,1985-09-08,,,,2210.0
617,,1985-09-09,,,,2290.0
618,,1985-09-10,,,,2330.0
619,,1985-09-11,,,,2310.0
620,,1985-09-12,,,,2200.0
621,,1985-09-13,,,,2060.0
622,,1985-09-14,,,,2060.0
623,,1985-09-15,,,,2010.0
